,TIC_ID
1173861,370239921
1173862,231692575
1173863,260301421
1173864,301977242
1173866,79394645
1173868,231709324
1173870,219336553
1173872,355635816
1173873,370241382
1173874,197987269
1173876,293481528
1173877,220510286
1173878,2055115952
1173880,197984183
1173881,262826305
1173882,265610409
1173883,231702693
1173884,425885064
1173887,234991390
1173889,425867292
1173890,393976373
1173891,259930091
1173892,24704558
1173893,370037714
1173894,231122963
1173895,31796522
1173897,31412187
1173898,32154434
1173900,615614567
1173901,52256110
1173902,52309102
1173903,234338569
1173904,389080621
1173905,469884015
1173907,277834926
1173909,389089871
1173910,327596126
1173913,348842703
1173914,161264073
1173916,340136613
1173917,339959934
1173918,29390933
1173919,29392275
1173920,1992778501
1173921,441115392
1173923,1992892732
1173926,2028237911
1173927,238170150
1173929,29260280
1173932,212293407
1173935,289826645
1173936,54001070
1173937,270101089
1173939,289794913
1173940,289841590
1173941,415682046
1173944,219322529
1173945,220500040
1173946,339577893
1173948,231716157
1173950,370324436
1173951,389124828
1173953,197981095
1173954,197767178
1173955,316880693
1173957,29759687
1173958,2054743723
1173959,2026154818
1173960,327597711
1173961,405413014
1173963,238854002
1173964,238833367
1173965,394633858
1173967,260822727
1173968,238174150
1173970,238177555
1173972,318570114
1173973,350336665
1173974,350656312
1173975,350932002
1173978,201352281
1173979,281727622
1173980,201286429
1173984,278991260
1173985,129678211
1173987,290374030
1173988,293525701
1173989,407580864
1173990,293507137
1173991,392760991
1173992,31868293
1173993,259976139
1173994,327915698
1173996,41032120
1173997,41032724
1173999,327857225
1174000,51913737
1174001,273851515
1174003,234344944
1174004,179213412
1174005,270099390
1174006,441198106
1174011,209400000
1174012,441119119
1174013,302453425
1174014,29257683
1174015,289823986
1174016,53783730
1174017,53975518
1174018,308542383
1174019,308542384
1174020,358509793
1174021,382527485
1174023,161404361
1174025,349413521
1174028,370007859
1174029,51912516
1174030,31854466
1174031,38703959
1174032,38740031
1174033,52308938
1174034,615720965
1174035,232071726
1174036,29759002
1174037,52079333
1174038,277103127
1174039,41595092
1174040,30109373
1174042,318516953
1174043,167721006
1174044,149271319
1174045,374861869
1174047,349522668
1174048,349964899
1174049,149159443
1174050,389668811
1174052,55756209
1174054,262876945
1174056,316976034
1174057,355686155
1174058,233967524
1174059,234526806
1174060,38508878
1174061,38761494
1174062,231827511
1174063,52195529
1174064,273791342
1174065,31531197
1174066,231835811
1174067,257736188
1174068,382635688
1174069,425937758
1174070,425938148
1174072,231852489
1174073,149161127
1174074,220567620
1174076,60911349
1174078,89332352
1174079,211409275
1174081,266643028
1174083,92254770
1174084,441413322
1174086,211335805
1174087,204446097
1174088,92312222
1174089,441354996
1174090,89260955
1174091,92452480
1174093,29281785
1174094,290372203
1174097,370236307
1174099,141828072
1174102,141607442
1174103,141807772
1174104,141912821
1174105,229052896
1174106,139453917
1174107,299942630
1174108,391893396
1174109,300037774
1174110,167419882
1174111,294982248
1174112,167342220
1174113,41488150
1174115,177116634
1174116,177021251
1174117,167169833
1174118,255547310
1192460,229092982
1192468,100102390
1192490,144276297
1192491,144276313
1192502,269794986
1192525,262531735
1192557,372908550
1192563,394678798
1192564,358500970
1192565,350136745
1192599,260972404
1192604,220436223
1192615,350094361
1192616,349647610
1192703,220402024
1192704,201938311
1192724,80430415
1192730,229097168
1192738,402046099
1192745,201230466
1192779,350344761
1192784,260266504
1192812,149304313
1192845,207149599
1192863,198079199
1192882,281779224
1192909,281667171
1192944,144307626
1192951,144285638
1192953,291210674
1192962,80474886
1192970,12723528
1192978,201234655
1192990,139349673
1193024,144334942
1193056,144335025
1193078,144301755
1193081,144301739
1193090,402026857
1193093,401986701
1193109,139282432
1193116,160066134
1193152,306735869
1193187,114858879
1193188,13097379
1193253,175286843
1193307,160112211
1193318,300088321
1193392,260640910
1193422,166808854
1193429,156003229
1193471,260420061
1193479,197844066
1193492,206589841
1193496,382198789
1193576,350765991
1193590,350298145
1193607,279511712
1193619,220456828
1193712,293972244
1193722,220457904
1193814,207149774
1193823,220405048
1193832,262497948
1193857,220414802
1193928,281727592
1193930,207208685
1193965,279476396
1193976,260507093
1194127,281598439
1194152,279510954
1194169,220418532
1194199,158623827
1194201,207085716
1194217,279321185
1194225,279214471
1194238,278987417
1194269,142108949
1194306,279359927
1194369,278684936
1194391,257721857
1194403,260131665
1194513,231053750
1194519,201884817
1194523,231063724
1194524,358232989
1194536,201289521
1194574,207144580
1194583,382419388
1194642,281597433
1194645,201306559
1194693,231048083
1194697,201799970
1194711,307291318
1194712,307291308
1194727,308086497
1194728,307573730
1194735,307492324
1194738,306895522
1194745,307435661
1194780,453097231
1194818,300328258
1194819,300709762
1194885,391901960
1194912,300160320
1194932,300329283
1194949,176876294
1194966,300290824
1195004,41533313
1195007,177075997
1195012,41533357
1195033,176960513
1195107,300039724
1195112,259885176
1195192,300015239
1195194,300015238
1195234,419065817
1195246,152087791
1195247,254300648
1195259,381949031
1195269,260416268
1195284,206539678
1195288,206539520
1195292,198004546
1195314,350295056
1195363,381949122
1195469,364423809
1195526,370227780
1195555,141280255
1195559,33833289
1195581,141810080
1195593,394231075
1195630,238196350
1195646,238198771
1195648,238869865
1195652,304093921
1195678,141186075
1195687,238196512
1195694,280096428
1195709,50308940
1195760,111224376
1195773,434105148
1195795,441051616
1195800,62440434
1195859,228508829
1195863,270187068
1195870,425884418
1195930,89528030
1195935,114792893
1195968,204313960
1196005,340705975
1196011,66467955
1196020,444155265
1196092,358108310
1196138,9068085
1196161,9757986
1196175,415970660
1196203,70847587
1196242,149011346
1196290,251854607
1196292,63726774
1196370,160220653
1196377,199729842
